image,label
https://raw.githubusercontent.com/pwinckles/pcio/master/52-domino/png/clubs-7.png,7 - Clubs
https://raw.githubusercontent.com/pwinckles/pcio/master/52-domino/png/clubs-8.png,8 - Clubs
https://raw.githubusercontent.com/pwinckles/pcio/master/52-domino/png/clubs-9.png,9 - Clubs
https://raw.githubusercontent.com/pwinckles/pcio/master/52-domino/png/clubs-t.png,10 - Clubs
https://raw.githubusercontent.com/pwinckles/pcio/master/52-domino/png/clubs-j.png,J - Clubs
https://raw.githubusercontent.com/pwinckles/pcio/master/52-domino/png/clubs-q.png,Q - Clubs
https://raw.githubusercontent.com/pwinckles/pcio/master/52-domino/png/clubs-k.png,K - Clubs
https://raw.githubusercontent.com/pwinckles/pcio/master/52-domino/png/clubs-a.png,A - Clubs
https://raw.githubusercontent.com/pwinckles/pcio/master/52-domino/png/hearts-7.png,7 - Hearts
https://raw.githubusercontent.com/pwinckles/pcio/master/52-domino/png/hearts-8.png,8 - Hearts
https://raw.githubusercontent.com/pwinckles/pcio/master/52-domino/png/hearts-9.png,9 - Hearts
https://raw.githubusercontent.com/pwinckles/pcio/master/52-domino/png/hearts-t.png,10 - Hearts
https://raw.githubusercontent.com/pwinckles/pcio/master/52-domino/png/hearts-j.png,J - Hearts
https://raw.githubusercontent.com/pwinckles/pcio/master/52-domino/png/hearts-q.png,Q - Hearts
https://raw.githubusercontent.com/pwinckles/pcio/master/52-domino/png/hearts-k.png,K - Hearts
https://raw.githubusercontent.com/pwinckles/pcio/master/52-domino/png/hearts-a.png,A - Hearts
https://raw.githubusercontent.com/pwinckles/pcio/master/52-domino/png/spades-7.png,7 - Spades
https://raw.githubusercontent.com/pwinckles/pcio/master/52-domino/png/spades-8.png,8 - Spades
https://raw.githubusercontent.com/pwinckles/pcio/master/52-domino/png/spades-9.png,9 - Spades
https://raw.githubusercontent.com/pwinckles/pcio/master/52-domino/png/spades-t.png,10 - Spades
https://raw.githubusercontent.com/pwinckles/pcio/master/52-domino/png/spades-j.png,J - Spades
https://raw.githubusercontent.com/pwinckles/pcio/master/52-domino/png/spades-q.png,Q - Spades
https://raw.githubusercontent.com/pwinckles/pcio/master/52-domino/png/spades-k.png,K - Spades
https://raw.githubusercontent.com/pwinckles/pcio/master/52-domino/png/spades-a.png,A - Spades
https://raw.githubusercontent.com/pwinckles/pcio/master/52-domino/png/diamonds-7.png,7 - Diamonds
https://raw.githubusercontent.com/pwinckles/pcio/master/52-domino/png/diamonds-8.png,8 - Diamonds
https://raw.githubusercontent.com/pwinckles/pcio/master/52-domino/png/diamonds-9.png,9 - Diamonds
https://raw.githubusercontent.com/pwinckles/pcio/master/52-domino/png/diamonds-t.png,10 - Diamonds
https://raw.githubusercontent.com/pwinckles/pcio/master/52-domino/png/diamonds-j.png,J - Diamonds
https://raw.githubusercontent.com/pwinckles/pcio/master/52-domino/png/diamonds-q.png,Q - Diamonds
https://raw.githubusercontent.com/pwinckles/pcio/master/52-domino/png/diamonds-k.png,K - Diamonds
https://raw.githubusercontent.com/pwinckles/pcio/master/52-domino/png/diamonds-a.png,A - Diamonds
