image,label
https://raw.githubusercontent.com/pwinckles/pcio/master/double-some-r-set-odd/png/0-t.png,0/T
https://raw.githubusercontent.com/pwinckles/pcio/master/double-some-r-set-odd/png/1-1.png,1/1
https://raw.githubusercontent.com/pwinckles/pcio/master/double-some-r-set-odd/png/1-3.png,1/3
https://raw.githubusercontent.com/pwinckles/pcio/master/double-some-r-set-odd/png/2-3.png,2/3
https://raw.githubusercontent.com/pwinckles/pcio/master/double-some-r-set-odd/png/3-3.png,3/3
https://raw.githubusercontent.com/pwinckles/pcio/master/double-some-r-set-odd/png/1-5.png,1/5
https://raw.githubusercontent.com/pwinckles/pcio/master/double-some-r-set-odd/png/2-5.png,2/5
https://raw.githubusercontent.com/pwinckles/pcio/master/double-some-r-set-odd/png/3-5.png,3/5
https://raw.githubusercontent.com/pwinckles/pcio/master/double-some-r-set-odd/png/4-5.png,4/5
https://raw.githubusercontent.com/pwinckles/pcio/master/double-some-r-set-odd/png/5-5.png,5/5
https://raw.githubusercontent.com/pwinckles/pcio/master/double-some-r-set-odd/png/1-7.png,1/7
https://raw.githubusercontent.com/pwinckles/pcio/master/double-some-r-set-odd/png/2-7.png,2/7
https://raw.githubusercontent.com/pwinckles/pcio/master/double-some-r-set-odd/png/3-7.png,3/7
https://raw.githubusercontent.com/pwinckles/pcio/master/double-some-r-set-odd/png/4-7.png,4/7
https://raw.githubusercontent.com/pwinckles/pcio/master/double-some-r-set-odd/png/5-7.png,5/7
https://raw.githubusercontent.com/pwinckles/pcio/master/double-some-r-set-odd/png/6-7.png,6/7
https://raw.githubusercontent.com/pwinckles/pcio/master/double-some-r-set-odd/png/7-7.png,7/7
https://raw.githubusercontent.com/pwinckles/pcio/master/double-some-r-set-odd/png/1-9.png,1/9
https://raw.githubusercontent.com/pwinckles/pcio/master/double-some-r-set-odd/png/2-9.png,2/9
https://raw.githubusercontent.com/pwinckles/pcio/master/double-some-r-set-odd/png/3-9.png,3/9
https://raw.githubusercontent.com/pwinckles/pcio/master/double-some-r-set-odd/png/4-9.png,4/9
https://raw.githubusercontent.com/pwinckles/pcio/master/double-some-r-set-odd/png/5-9.png,5/9
https://raw.githubusercontent.com/pwinckles/pcio/master/double-some-r-set-odd/png/6-9.png,6/9
https://raw.githubusercontent.com/pwinckles/pcio/master/double-some-r-set-odd/png/7-9.png,7/9
https://raw.githubusercontent.com/pwinckles/pcio/master/double-some-r-set-odd/png/8-9.png,8/9
https://raw.githubusercontent.com/pwinckles/pcio/master/double-some-r-set-odd/png/9-9.png,9/9
https://raw.githubusercontent.com/pwinckles/pcio/master/double-some-r-set-odd/png/1-11.png,1/11
https://raw.githubusercontent.com/pwinckles/pcio/master/double-some-r-set-odd/png/2-11.png,2/11
https://raw.githubusercontent.com/pwinckles/pcio/master/double-some-r-set-odd/png/3-11.png,3/11
https://raw.githubusercontent.com/pwinckles/pcio/master/double-some-r-set-odd/png/4-11.png,4/11
https://raw.githubusercontent.com/pwinckles/pcio/master/double-some-r-set-odd/png/5-11.png,5/11
https://raw.githubusercontent.com/pwinckles/pcio/master/double-some-r-set-odd/png/6-11.png,6/11
https://raw.githubusercontent.com/pwinckles/pcio/master/double-some-r-set-odd/png/7-11.png,7/11
https://raw.githubusercontent.com/pwinckles/pcio/master/double-some-r-set-odd/png/8-11.png,8/11
https://raw.githubusercontent.com/pwinckles/pcio/master/double-some-r-set-odd/png/9-11.png,9/11
https://raw.githubusercontent.com/pwinckles/pcio/master/double-some-r-set-odd/png/10-11.png,10/11
https://raw.githubusercontent.com/pwinckles/pcio/master/double-some-r-set-odd/png/11-11.png,11/11
https://raw.githubusercontent.com/pwinckles/pcio/master/double-some-r-set-odd/png/1-13.png,1/13
https://raw.githubusercontent.com/pwinckles/pcio/master/double-some-r-set-odd/png/2-13.png,2/13
https://raw.githubusercontent.com/pwinckles/pcio/master/double-some-r-set-odd/png/3-13.png,3/13
https://raw.githubusercontent.com/pwinckles/pcio/master/double-some-r-set-odd/png/4-13.png,4/13
https://raw.githubusercontent.com/pwinckles/pcio/master/double-some-r-set-odd/png/5-13.png,5/13
https://raw.githubusercontent.com/pwinckles/pcio/master/double-some-r-set-odd/png/6-13.png,6/13
https://raw.githubusercontent.com/pwinckles/pcio/master/double-some-r-set-odd/png/7-13.png,7/13
https://raw.githubusercontent.com/pwinckles/pcio/master/double-some-r-set-odd/png/8-13.png,8/13
https://raw.githubusercontent.com/pwinckles/pcio/master/double-some-r-set-odd/png/9-13.png,9/13
https://raw.githubusercontent.com/pwinckles/pcio/master/double-some-r-set-odd/png/10-13.png,10/13
https://raw.githubusercontent.com/pwinckles/pcio/master/double-some-r-set-odd/png/11-13.png,11/13
https://raw.githubusercontent.com/pwinckles/pcio/master/double-some-r-set-odd/png/12-13.png,12/13
https://raw.githubusercontent.com/pwinckles/pcio/master/double-some-r-set-odd/png/13-13.png,13/13
