image,label
https://raw.githubusercontent.com/pwinckles/pcio/master/lama/png/1.png,1
https://raw.githubusercontent.com/pwinckles/pcio/master/lama/png/2.png,2
https://raw.githubusercontent.com/pwinckles/pcio/master/lama/png/3.png,3
https://raw.githubusercontent.com/pwinckles/pcio/master/lama/png/4.png,4
https://raw.githubusercontent.com/pwinckles/pcio/master/lama/png/5.png,5
https://raw.githubusercontent.com/pwinckles/pcio/master/lama/png/6.png,6
https://raw.githubusercontent.com/pwinckles/pcio/master/lama/png/1+.png,1+
https://raw.githubusercontent.com/pwinckles/pcio/master/lama/png/2+.png,2+
https://raw.githubusercontent.com/pwinckles/pcio/master/lama/png/3+.png,3+
https://raw.githubusercontent.com/pwinckles/pcio/master/lama/png/4+.png,4+
https://raw.githubusercontent.com/pwinckles/pcio/master/lama/png/5+.png,5+
https://raw.githubusercontent.com/pwinckles/pcio/master/lama/png/6+.png,6+
https://raw.githubusercontent.com/pwinckles/pcio/master/lama/png/llama1.png,Llama 1
https://raw.githubusercontent.com/pwinckles/pcio/master/lama/png/llama2.png,Llama 2
https://raw.githubusercontent.com/pwinckles/pcio/master/lama/png/llama3.png,Llama 3
https://raw.githubusercontent.com/pwinckles/pcio/master/lama/png/llama4.png,Llama 4
https://raw.githubusercontent.com/pwinckles/pcio/master/lama/png/llama5.png,Llama 5
https://raw.githubusercontent.com/pwinckles/pcio/master/lama/png/llama6.png,Llama 6
https://raw.githubusercontent.com/pwinckles/pcio/master/lama/png/llama7.png,Llama 7
https://raw.githubusercontent.com/pwinckles/pcio/master/lama/png/llama8.png,Llama 8
