image,label,rank,value
https://raw.githubusercontent.com/pwinckles/pcio/master/sheepshead/png/clubs-7.png,7 - Clubs,,0
https://raw.githubusercontent.com/pwinckles/pcio/master/sheepshead/png/clubs-8.png,8 - Clubs,,0
https://raw.githubusercontent.com/pwinckles/pcio/master/sheepshead/png/clubs-9.png,9 - Clubs,,0
https://raw.githubusercontent.com/pwinckles/pcio/master/sheepshead/png/clubs-t.png,10 - Clubs,,10
https://raw.githubusercontent.com/pwinckles/pcio/master/sheepshead/png/clubs-j.png,J - Clubs,10,2
https://raw.githubusercontent.com/pwinckles/pcio/master/sheepshead/png/clubs-q.png,Q - Clubs,14,3
https://raw.githubusercontent.com/pwinckles/pcio/master/sheepshead/png/clubs-k.png,K - Clubs,,4
https://raw.githubusercontent.com/pwinckles/pcio/master/sheepshead/png/clubs-a.png,a - Clubs,,11
https://raw.githubusercontent.com/pwinckles/pcio/master/sheepshead/png/spades-7.png,7 - Spades,,0
https://raw.githubusercontent.com/pwinckles/pcio/master/sheepshead/png/spades-8.png,8 - Spades,,0
https://raw.githubusercontent.com/pwinckles/pcio/master/sheepshead/png/spades-9.png,9 - Spades,,0
https://raw.githubusercontent.com/pwinckles/pcio/master/sheepshead/png/spades-t.png,10 - Spades,,10
https://raw.githubusercontent.com/pwinckles/pcio/master/sheepshead/png/spades-j.png,J - Spades,9,2
https://raw.githubusercontent.com/pwinckles/pcio/master/sheepshead/png/spades-q.png,Q - Spades,13,3
https://raw.githubusercontent.com/pwinckles/pcio/master/sheepshead/png/spades-k.png,K - Spades,,4
https://raw.githubusercontent.com/pwinckles/pcio/master/sheepshead/png/spades-a.png,a - Spades,,11
https://raw.githubusercontent.com/pwinckles/pcio/master/sheepshead/png/hearts-7.png,7 - Hearts,,0
https://raw.githubusercontent.com/pwinckles/pcio/master/sheepshead/png/hearts-8.png,8 - Hearts,,0
https://raw.githubusercontent.com/pwinckles/pcio/master/sheepshead/png/hearts-9.png,9 - Hearts,,0
https://raw.githubusercontent.com/pwinckles/pcio/master/sheepshead/png/hearts-t.png,10 - Hearts,,10
https://raw.githubusercontent.com/pwinckles/pcio/master/sheepshead/png/hearts-j.png,J - Hearts,8,2
https://raw.githubusercontent.com/pwinckles/pcio/master/sheepshead/png/hearts-q.png,Q - Hearts,12,3
https://raw.githubusercontent.com/pwinckles/pcio/master/sheepshead/png/hearts-k.png,K - Hearts,,4
https://raw.githubusercontent.com/pwinckles/pcio/master/sheepshead/png/hearts-a.png,a - Hearts,,11
https://raw.githubusercontent.com/pwinckles/pcio/master/sheepshead/png/diamonds-7.png,7 - Diamonds,1,0
https://raw.githubusercontent.com/pwinckles/pcio/master/sheepshead/png/diamonds-8.png,8 - Diamonds,2,0
https://raw.githubusercontent.com/pwinckles/pcio/master/sheepshead/png/diamonds-9.png,9 - Diamonds,3,0
https://raw.githubusercontent.com/pwinckles/pcio/master/sheepshead/png/diamonds-t.png,10 - Diamonds,5,10
https://raw.githubusercontent.com/pwinckles/pcio/master/sheepshead/png/diamonds-j.png,J - Diamonds,7,2
https://raw.githubusercontent.com/pwinckles/pcio/master/sheepshead/png/diamonds-q.png,Q - Diamonds,11,3
https://raw.githubusercontent.com/pwinckles/pcio/master/sheepshead/png/diamonds-k.png,K - Diamonds,4,4
https://raw.githubusercontent.com/pwinckles/pcio/master/sheepshead/png/diamonds-a.png,a - Diamonds,6,11
